case_id	category	expected	render
static-shapes	supported	preview:static	yes
rounded-and-ellipse	supported	preview:static	no
polyline-and-fill-rule	supported	preview:static	no
gradient-linear-bounding-box	paint	preview:static	yes
gradient-radial-user-space	paint	preview:static	no
gradient-href-inheritance	paint	preview:static	no
css-class-and-inline-style	cascade	preview:static	no
use-and-symbol	structure	preview:static	no
nested-viewport-slice	structure	preview:static	no
dashed-stroke	stroke	preview:static	no
smil-attribute-animation	animation	preview:animated	yes
smil-transform-animation	animation	preview:animated	no
smil-set-freeze	animation	preview:animated	no
script-element	hostile	fallback:active_content	no
event-handler-attribute	hostile	fallback:active_content	no
embedded-image-element	hostile	fallback:active_content	no
external-paint-reference	hostile	fallback:external_reference	no
entity-declaration	hostile	fallback:entity_declaration	no
malformed-markup	malformed	fallback:malformed_markup	no
malformed-path-data	malformed	fallback:malformed_path	no
non-svg-root	malformed	fallback:not_svg	no
text-only-document	unsupported-feature	fallback:nothing_painted	no
utf16-document	encoding	fallback:not_utf8	no
oversized-document	resource-limit	fallback:file_too_large	no
recursive-use-chain	resource-limit	fallback:too_complex	no
