case_id	extension	category	expected	render
valid-jpeg	jpg	supported	preview	no
valid-png-alpha	png	supported	preview	yes
valid-gif	gif	supported	preview	no
valid-webp	webp	supported	preview	no
valid-bmp	bmp	supported	preview	no
valid-ico	ico	supported	preview	no
valid-tiff	tiff	supported	preview	no
png-downscale	png	boundary	preview	yes
png-decompression-stress	png	stress	preview	yes
png-magic-jpeg-extension	jpg	misleading-extension	preview	yes
png-unsupported-extension	txt	misleading-extension	unsupported	no
unsupported-magic-png-extension	png	misleading-magic	unsupported	no
truncated-jpeg	jpg	truncation	fail-closed	no
truncated-png	png	truncation	fail-closed	no
truncated-gif	gif	truncation	fail-closed	no
truncated-webp	webp	truncation	fail-closed	no
truncated-bmp	bmp	truncation	fail-closed	no
truncated-ico	ico	truncation	fail-closed	no
truncated-tiff	tiff	truncation	fail-closed	no
png-over-axis	png	resource-limit	resource-rejected	no
png-too-many-pixels	png	resource-limit	resource-rejected	no
png-decoded-too-large	png	resource-limit	resource-rejected	no
png-missing-pixels	png	corrupt-data	fail-closed	no
png-corrupt-header-crc	png	corrupt-data	fail-closed	no
